detention_facility_code,detention_facility_name,state
AAORDMD,Ordnance Road Correctional Center,MD
ABQHOLD,Albuquerque Hold Room,NM
ABRXSPA,Abraxas Academy Detention Center,PA
ABTHOLD,Abilene Hold Room,TX
ADACOID,Ada County Jail,ID
ADAIRKY,Adair County Regional Jail,KY
ADAMSCO,Adams County Jail,CO
ADAMSMS,Adams County Det Center,MS
ADAMSWA,Adams County,WA
ADDCOVT,Addison County Jail,VT
ADLNTCA,Adelanto ICE Processing Center,CA
AFRC,Artesia Family Residential Center,NM
AGAHOLD,Agana INS,GU
AGC,Aguadilla SPC,PR
AGMDCCA,Anaheim Global Medical Center,CA
AIRHOPR,"Airport Hotel, Saj.",PR
AKCOOKI,"Cook Inlet Pretrial, Anch",AK
AKFAIRB,Fairbanks Corr Ctr,AK
AKHIGHL,Highland Mtn Cor Ctr,AK
AKKETCH,Ketchikan Regional CC,AK
AKLEMON,"Lemon Creek, Juneau,AK",AK
AKMATSU,"Matsu Pretrial, Palmer AK",AK
AKMCYOU,McLaughlin Youth Center,AK
AKPALMC,Palmer Correctional Cente,AK
AKPSYNJ,Anne Klein Phsychiatric Institute,NJ
AKWILCC,Wildwood State Corr. Ctr.,AK
AKWILPT,Wildwood Pre-Trial Fac.,AK
ALAMCNC,Alamance Co. Det. Facility,NC
ALAMOCO,Alamosa County Jail,CO
ALAMOTX,Alamo Police Dept.,TX
ALBCONY,Albany County Jail,NY
ALBEMVA,Albemarle-Charlottesville,VA
ALBHOLD,Albany Holdroom,NY
ALEXAAL,Alexandria City Jail,VA
ALEXAVA,Alexandria City Jail,VA
ALHAMCA,Alhambra City Jail,CA
ALLEGNY,Allegany County Jail,NY
ALLEGPA,Allegheny Co. Jail,PA
ALLENIN,Allen County Jail,IN
ALMHOLD,Alamosa Holdroom,CO
AMTHOLD,Amarillo Hold Room,TX
ANCHOAK,Anchorage Jail,AK
ANDRWTX,Andrews Sherrif's Office Co Jail,TX
ANJUVMN,Anoka Co. Juvenile Center,MN
APACHAZ,Apache Co. Jail,AZ
APIBHCA,Alvarado Parkway Institute,CA
APPSCLA,Allen Parish Public Safety Complex,LA
ARAPACO,Arapahoe County Jail,CO
ARLCOVA,Arlington Co Jail,VA
AROOSME,Aroostook County Jail,ME
ARRMCCA,Arrowhead Regional Med Center,CA
ARTESNM,Artesia City Jail,NM
ARTSINM,Artesia Law Enforcement Center,NM
ASHECNC,Ashe County Jail,NC
ASHRSFL,Atlantic Shores Hospital,FL
ATLANGA,Atlanta Pretrial Detn Ctr,GA
ATLHOLD,Atlanta Dist. Hold Rm,GA
ATTHOLD,"Athens, TX Hold Room",TX
AURORCO,Aurora City Jail,CO
AUSHOLD,Austin DRO Hold Room,TX
AVPARLA,Avoyelles Parish Prison,LA
AZDCTUC,AZ Dpt Corrections Tucson,AZ
AZSPFLO,Arizona State Prison Comp,AZ
AZSPPER,Perryville State Prison,AZ
AZSVCPC,Arizona Service Prison Complex,AZ
BAILECA,George Bailey Detent Faci,CA
BAKERFL,Baker County Sheriff Dept.,FL
BALDWAL,Baldwin County Cor. Center,AL
BALHOLD,Bal D D & P,MD
BANNOID,Bannock County Jail,ID
BARNSMA,Barnstable County,MA
BARRECA,Barrett Honor Camp,CA
BASILLA,Basile Detention Center,LA
BAYAMPR,Bayamon Hospital,PR
BEAVRPA,Beaver County Jail,PA
BEDCITX,Bedford City Jail,TX
BEDFOOH,Bedford Heights City,OH
BEDFOPA,Bedford County Jail,PA
BEFAMPA,Berks County Family Shelter,PA
BEHOSNY,"Bellevue Hospital, Manhat",NY
BEJUVPA,Berks Co. Juvenile,PA
BENTOWA,Benton County,WA
BERGENJ,Bergen County Jail,NJ
BERKSPA,"Berks County Jail, PA",PA
BERNANM,Bernalillo County Det Ctr,NM
BESECPA,Berks County Secured Juvenile,PA
BFGHITX,"Byrd's Foster Group Home, Inc",TX
BHCALCA,Alhambra BHC Hospital,CA
BHFLDMI,Bronson Hospital Fieldstone Center,MI
BHMHOLD,Birmingham Hold Room,AL
BIGHOMT,"Big Horn County Jail, MT",MT
BIGHOWY,"Big Horn County Jail, WY",WY
BILHOLD,Billings Hold Room,MT
BKLHOLD,Bakerfield Hold,CA
BLBNATX,Bluebonnet Det Fclty,TX
BLHHOLD,Bellingham BPS ERO Holdroom,WA
BLOUNTN,Blount County Justice Ctr,TN
BOEHOLD,Elp Boeing Dr Holdroom,TX
BOIHOLD,Boise Hold Room,ID
BONNEID,Bonneville Co. Jail,ID
BOONEKY,Boone County Jail,KY
BOPALM,Allenwood (Med) FCI,PA
BOPBRO,Brooklyn MDC,NY
BOPBUT,Butner Fed.Corr.Inst.,NC
BOPCAA,USP Canaan,PA
BOPCNV,Nashville Comm. Corr.,TN
BOPCUM,Cumberland FCI,MD
BOPDAL,Dalby Correctional Institute,TX
BOPFAI,Fairton FCI,NJ
BOPGIL,FCI Gilmer,WV
BOPGUA,Guaynabo MDC (San Juan),PR
BOPHON,Honolulu Federal Detention Center,HI
BOPLEX,Lexinton Fed.Med Center,KY
BOPLOF,Lompoc FCI,CA
BOPLOM,Lompoc USP,CA
BOPLOS,Los Angeles Met.Det.Ctr.,CA
BOPLTL,"La Tuna Federal Sattelite, Low",TX
BOPMAR,Marion USP,IL
BOPMCR,Mccreary USP,KY
BOPMEM,Memphis Fed.Corr.Inst.,TN
BOPMIA,Miami FCI (Former MCC),FL
BOPMIM,Miami Fed.Det.Center,FL
BOPMRG,Morgantown Fed.Corr.Inst.,WV
BOPNEO,Northeast Ohio Correctional Center,OH
BOPOAD,Oakdale Fed.Det.Center,LA
BOPPHX,Phoenix Fed.Corr.Inst.,AZ
BOPPOL,Pollock USP,LA
BOPRAE,"McRae Correctional Facility, CCA",GA
BOPRBK,Ray Brook Fed.Corr.Inst.,NY
BOPRCH,Rochester Fed.Med.Center,MN
BOPSDC,San Diego MCC,CA
BOPSET,Seatac Fed.Det.Center,WA
BOPSHE,Sheridan Fed.Corr.Inst.,OR
BOPSPG,Springfield Fed.Med.Cntr,MO
BOPTCN,Tucson Fed.Corr.Inst.,AZ
BOPTCP,US Penitentiary Tucson,AZ
BOPTHA,Terre Haute USP,IN
BOPTRV,Three Rivers FCI,TX
BOPVIM,FCI Victorville,CA
BOSHOLD,Boston Holdroom,MA
BOSSRLA,Bossier Parish Cor. Center,LA
BOTTIND,Bottineau Co. ND Jail,ND
BOWCOTX,Bowie County Jail,AR
BPC,Boston SPC,MA
BRADEFL,Bradenton Detention Center,FL
BRANCMI,"Branch Co, Coldwater, MI",MI
BRCHOLD,Brush Holdroom,CO
BREMEIA,"Bremer Co Jail, Iowa",IA
BRGMCFL,Broward General Medical Center,FL
BRINDMA,Bristol Cnty Ndartmouth,MA
BRKHOLD,Berks Hold Room,PA
BROADMT,Broadwater County Jail,MT
BROCRFL,Broward Correctional,FL
BROJAFL,Broward County Jail,FL
BROKSTX,Brooks County Jail (Contract),TX
BROMMNY,Broome County Jail,NY
BROWNSD,Brown County Jail,SD
BROWNWI,Brown County Jail,WI
BRWNSTX,Brownsville Police Dept.,TX
BSAHOLD,Broadview Service Staging,IL
BSCDRTX,BSCC Cedar Hill Unit,TX
BSCHOLD,Big Spring Hold Room,TX
BSCORTX,BSCC Airpark Unit,TX
BSFLTTX,BSCC Flightline Unit,TX
BSGDFTX,BSCC Giles Darby Facility,TX
BSNTRTX,BSCC Interstate Unit,TX
BSQUETX,Bosque County Sheriff's Dept.,TX
BTV,Buffalo SPC,NY
BUFHOLD,Buffalo Hold Room,NY
BURLEND,"Burleigh Co. Jail, ND",ND
BURNETX,Burnet County Jail,TX
BUTLEKS,Butler County Jail,KS
BUTLEOH,Butler County Jail,OH
BWDGICA,Best Western Dragon Gate Inn,CA
BWMARCA,Best Western Marina,CA
BXCHSNY,Bronxcare Health System,NY
CACCJAM,SCC/Jamestown,CA
CACFBAK,Baker CCF,CA
CACFDON,RJ Donovan Correc Fac,CA
CACFLEO,CCF/Leo Chesney,CA
CACFMCF,Mcfarland CCF,CA
CACFMES,Mesa Verde ICE Processing Center,CA
CACHEUT,Cache Co. Jail,UT
CACTYCA,California City Corections Center,CA
CADCCAL,CDC Calipatria IHP,CA
CADESVI,Desert View,CA
CAIRONW,Ironwood State Prison,CA
CAJUVMN,Carver Co. Juvy Detention,MN
CALDWMO,Caldwell County Jail,MO
CALHOMI,"Calhoun Co., Battle Cr,MI",MI
CAMBRPA,"Cambria County Jail, PA",PA
CAMCOWY,Campbell County Jail,WY
CAMEDAZ,Central Arizona Medical,AZ
CAMENCE,"Calif. Men Colony, East",CA
CAMENCW,"Calif. Men Colony, West",CA
CAMERTX,Cameron County Jail,TX
CARBOPA,Carbon County Correctionl,PA
CARBOWY,Carbon County Jail,WY
CARDFVA,Caroline Detention Facility,VA
CARJAMN,Carver County Jail,MN
CARROMD,Carroll County Detention Center,MD
CASCAMT,"Cascade County Jail, MT",MT
CASPCAL,Calipatria State Prison,CA
CASPSAC,Csp-Sacramento,CA
CASSCND,Cass County Jail,ND
CASSCNE,Cass County Jail,NE
CASSJCA,Casa San Juan,CA
CATAHLA,Catahoula Correctional Center,LA
CATTANY,Cattaraugus County Jail,NY
CAWVALL,West Valley,CA
CAYUGNY,Cayuga County Jail,NY
CBENDTX,Coastal Bend Det. Facility,TX
CBRRSNC,Cabarrus County Jail,NC
CCADCAZ,CCA Cent.AZ.Det.Ctr.,AZ
CCAFLAZ,"CCA, Florence Correctional Center",AZ
CCAHUTX,T Don Hutto Residential Center,TX
CCANOOH,CCA Northeast OH Corrects,OH
CCASDCA,Otay Mesa Detention Center,CA
CCHHSIL,Cook County Hospital-JHS,IL
CEMEDFL,Cedars Medical Center,FL
CENTRWV,Central Regional Jail,WV
CFREDVA,Clarke Fred'k Winch.,VA
CGRMCAZ,Casa Grande Reg. Med. Center,AZ
CHACONY,Chautauqua County Jail,NY
CHAHOLD,Charlotte Amalie Holdroom,VI
CHARLSC,Charleston County Correct,SC
CHASEKS,Chase County Jail,KS
CHATHGA,Chatham Co Jail,GA
CHAVENM,Chavez Det Crt,NM
CHELAWA,Chelan Co. Regional Jail,WA
CHEMUNY,Chemung County Jail,NY
CHENANY,Chenango County Jail,NY
CHEROOK,Cherokee County Jail,OK
CHIHOLD,Chicago Hold Room,IL
CHIPPMI,"Chippewa Co., SSM",MI
CHLHOLD,"Charleston, SC Hold Room",SC
CHMCINY,Courthouse USM Cntl Islip,NY
CHMHOLD,Champlain Hold Room,NY
CHRISMO,Christian Co Sheriff Dept,MO
CHRLTFL,Charlotte County Jail,FL
CHYHOLD,Cheyenne Holdroom,WY
CIBOCNM,Cibola County Correctional Center,NM
CIBOLNM,Cibola County Det Ctr,NM
CINHOLD,Cincinnati Holdroom,OH
CIPHOLD,Central Islip Hold Room,NY
CITRUFL,Citrus County Jail,FL
CKHOSFL,Columbia Kendal Hospital,FL
CLARIPA,Clarion  County Corrections,PA
CLARKWA,Clark County Jail,WA
CLAYCIN,Clay County Justice Center,IN
CLEHOLD,Cleveland Hold Room,OH
CLICONY,Clinton County Jail,NY
CLINTPA,Clinton County Corr. Fac.,PA
CLMHOLD,Columbus Holdroom,OH
CLTHOLD,Charlotte Hold Room,NC
CMEDHPR,Centro Medico Hospital,PR
CMPJVNY,Compass House Shelter,NY
CNGHOLD,Chattanooga Hold Room,TN
CNTGRIL,Centegra Hospital,IL
COAHOLD,"Columbia, SC Holdroom",SC
COBBJGA,Cobb County Jail,GA
COCHIAZ,Cochise Co Jail Bisbee AZ,AZ
COCONAZ,Coconino Co Detention Facility,AZ
COLCASC,Columbia Care Center,SC
COLLIFL,Collier County Sheriff,FL
COLOMNY,Colombia County Jail,NY
COLUMOR,Columbia County Jail,OR
COLUMPA,Columbia County Jail,PA
COMFTFL,Comfort Suites Hotel,FL
CONCOCA,Contra Costa Co. Jail,CA
CONCOLA,Concordia Parish C C,LA
CONEJCO,Conejos County Jail,CO
CONVEWY,Converse County Jail,WY
CONWECA,Contra Costa Co Jail/West,CA
COOCONH,Coos County Jail,NH
COOSCOR,Coos Co. Jail,OR
COSTACA,Costa Mesa College Hosp,CA
COWJVWA,Cowlitz Co. Juv. Det.,WA
CRGHOLD,Craig Holdroom,CO
CRIHOLD,Cedar Rapids Hold Room,IA
CROWGMN,Crow Wing County Jail,MN
CRTOSCA,Cerritos  College Hosp,CA
CRYCCTX,Crystal City Corr. Center,TX
CSCNWWA,NW ICE Processing Ctr,WA
CSDHOLD,Colo Springs Den HSI Hold,CO
CSPHOLD,Casper Holdroom,WY
CSYJVNY,Casey House Shelter,NY
CTLAFSL,Laffayette Sheriff's Lock,CT
CTYORCI,York Corr Inst,CT
CULBETX,Culberson County Sheriff's,TX
CULPEVA,Culpeper Co. Adult Det. Center,VA
CUMBEME,Cumberland County Jail,ME
CURRYNM,Curry County Det Fac,NM
CUSTEMT,Custer County Jail,MT
CVREGVA,Central VA Regional Jail,VA
DAKOTNE,Dakota County Jail,NE
DALCOTX,Dallas County Jail-Lew Sterrett,TX
DALHOLD,Dallas F.O. Hold,TX
DAUPHPA,"Dauphin Cnty Jail, PA",PA
DAVIDTN,Davidson Co. Sheriff Dept,TN
DAWSOMT,Dawson County Jail,MT
DCDOCDC,DC Dept Of Corrections,DC
DEAPDMI,Dearborn Police Dept.,MI
DECCSMY,Delaware Correction Center,DE
DEKALAL,Dekalb County Detention Center,AL
DEKALGA,Dekalb Co Jail,GA
DELAWPA,Delaware Co Jail,PA
DELTACO,Delta County Jail,CO
DENCICO,Denver Justice Center,CO
DENHOLD,Denver Hold Room,CO
DENICDF,Denver Contract Det. Fac.,CO
DENIICO,Denver CDF II,CO
DENVECO,Denver County Jail,CO
DEPCOGU,Department Of Corrections,GU
DEPYOGU,Department Of Youth Affairs,GU
DETHOLD,"U.S. Immigration, Detroit",MI
DHDFNJ,Delaney Hall Detention Facility,NJ
DIIHBMD,Days Inn Inner Harbor Baltimore,MD
DLAMOCA,Del Amo Psychiatric Hospital,CA
DLRHOLD,Del Rio DRO Hold Room,TX
DNHMCCO,Denver Health Medical Center,CO
DOCORNE,Douglas County Correction,NE
DODGEWI,"Dodge County Jail, Juneau",WI
DONAANM,Dona Ana County Detention Facility,NM
DORCHMD,Dorchester Co Det Cntr,MD
DOUGLCO,Douglas County Detention Center,CO
DOUGLOR,Douglas Co. Jail,OR
DOUGLWI,Douglas Co. Wisconsin,WI
DRURYCO,Drury Inn,CO
DSMCNTX,DSMC - Del Sol Medical Center,TX
DSMHOLD,Des Moines Hold Room,IA
DSRTVCA,Desert Valley Hospital,CA
DULHOLD,Duluth Hold Room,MN
DUPAGIL,Dupage County Jail,IL
DURHOLD,Durango Holdroom,CO
DUTCHAK,Dutch Harbor City Jail,AK
DUVALFL,Duval/Jacksonville Jail,FL
DVDHOLD,Dover Holdroom,DE
EAGLECO,Eagle County Jail,CO
EAZ,Eloy Federal Contract Fac,AZ
ECC,El Centro SPC,CA
ECLECTX,Ector County L.E.C.,TX
ECMCBNY,Erie County Medical Center,NY
ECOLOWA,Econolodge Motel,WA
ECTORTX,Ector County Correction Center,TX
EDCHOLD,Eden Hold Room,TX
EDDCONM,Eddy County Jail,NM
EDENDTX,Eden Det Center,TX
EDNBGTX,Edinburg Police Dept.,TX
EDNDCTX,Eden Detention Ctr,TX
EDNHOLD,Eden Det Ctr Hold Room,TX
EHDLGTX,East Hidalgo Detention Center,TX
EIRHONY,Erie Co Holding Center,NY
ELBERCO,Elbert County Jail,CO
ELGPDIL,Elgin Police Dept. Jail,IL
ELKHAIN,Elkhart County Jail,IN
ELMORID,Elmore County Jail,ID
ELPASCO,El Paso County Jail (CO),CO
ELPCOTX,El Paso County Jail (TX),TX
ELVDFTX,El Valle Detention Facility,TX
ELZICDF,Elizabeth Contract D.F.,NJ
EMBCRNC,Embassy Suites By Hilton,NC
EMBSYCO,Embassy Suites Hotel,CO
EMESACA,East Mesa Detent Facility,CA
EPBHSTX,El Paso Behavioral Health System,TX
EPC,El Paso SPC,TX
EPCJUVI,El Paso SPC Juvenile,TX
EPLTATX,El Paso LTAC Hospital,TX
ERICONY,Erie County Holding Center,NY
ERICOPA,"Erie County Jail, PA",PA
ESSEXMA,"Essex Co. Jail, Middleton",MA
ESSEXNJ,Essex County Jail,NJ
ESSEXNY,Essex County Jail,NY
ETOWAAL,Etowah County Jail (AL),AL
ETWHOLD,Etowah ERO Hold Room,AL
EUGHOLD,Eugene Holdroom,OR
EULESTX,Euless City Jail,TX
FAICOVA,Fairfax Co Jail,VA
FAULKAR,Faulkner County Jail,AR
FAULKSD,Faulk County Jail,SD
FAYETKY,Fayette County Detention Center,KY
FAYHOLD,Fayetteville Hold Room,AR
FCLT8CA,Facility 8 Detention Facility,CA
FCOHOLD,Frederick Holdroom,CO
FERRYWA,Ferry County Jail,WA
FIPCAGA,Annex Folkston IPC,GA
FLATHMT,Flathead County Jail,MT
FLBAKCI,Baker C. I.,FL
FLBHCFL,Ft Lauderdale Behavor Hlth Ctr,FL
FLDADCI,Dade Correctional Inst,FL
FLHOSFL,Fort Lauderdale Hospital,FL
FLMARIC,Marion Correctional Inst.,FL
FLO,Florence SPC,AZ
FLOYDGA,Floyd County Jail,GA
FLSPSTA,"Florida St. Pris.,Starke",FL
FMYHOLD,Fort Myers ERO Holdroom,FL
FORSYNC,Forsyth County Jail,NC
FRACOVT,"Franklin County Jail, VT",VT
FRANKWA,Franklin County,WA
FRDHOLD,Frederick Holdroom,CO
FRECOCA,Fresno County Jail,CA
FREDEMD,Frederick County Det. Cen,MD
FREEBMN,"Freeborn County Jail, MN",MN
FREHOLD,Fresno Holdroom,CA
FREMOCO,"Fremont County Jail, CO",CO
FREMOWY,"Fremont County Jail, WY",WY
FRFLDWY,Fairfield Inn & Suites,WY
FRIOCTX,Frio County Jail,TX
FRMVLVA,ICA - Farmville,VA
FSAHOLD,Fort Smith Holdroom,AR
FSF,Florence Staging Facility,AZ
FXADCVA,Fairfax Co. Adult Detention Center,VA
GADRYJM,D. Ray James Prison,GA
GALLAMT,Gallatin County Jail,MT
GARVIOK,Garvin County Jail,OK
GASTNNC,Gaston County Jail,NC
GCLECOK,Grady County Law Enforcement Ctr,OK
GEAUGOH,Geauga County Jail,OH
GENESNY,Genesee County Jail,NY
GFCORND,Grand Forks County Correc,ND
GFJUVND,Grand Forks Co. Juvenile,ND
GIJUVAZ,Gila County Juvenile Det Center,AZ
GJCHOLD,Grand Junction Holdroom,CO
GLADEFL,Glades County Detention Center,FL
GLEPDCA,Glendale Police Dept,CA
GLOUCNJ,Gloucester County Jail,NJ
GOSHEWY,Goshen County Jail,WY
GPCHOLD,Great Plains CI Holdroom,OK
GRANTOR,Grant County Jail,OR
GRANTWA,Grant County,WA
GRAYSKY,Grayson County Detention Center,KY
GREENMA,Franklin House of Corrections,MA
GREENMO,Greene County Jail,MO
GRFHOLD,Grand Forks Hold Room,ND
GRIHOLD,Grand Island Hold Room,NE
GRMHOLD,Grand Rapids Holdroom,MI
GRRHOLD,Greer Hold Room,SC
GRYDCKY,Grayson County Det Center (Female),KY
GSCHOLD,Glenwood Springs Holdroom,CO
GUADATX,Guadalupe Cty Jail,TX
GUDOCHG,Dept Of Corrections-Hagatna,GU
GWINNGA,Gwinnett County Jail,GA
HAILEID,Haile Det. Center,ID
HALLJGA,Hall Co Jail,GA
HAMPDMA,Hampden Co.House Of Corr.,MA
HARDEFL,Hardee County Jail,FL
HARDJIA,Hardin Co Jail,IA
HARFOCT,Hartford Corr Center,CT
HARHOLD,Hartford Office,CT
HARRIGA,Harris County Jail,GA
HASHENE,Hall County Sheriff,NE
HASKLTX,Rolling Plains Detention Center,TX
HBGHOLD,Harrisonburg Hold Room,VA
HCPSYTX,Harris County Psychiatric Center,TX
HDLGOTX,Hidalgo Police Dept.,TX
HELHOLD,Hel District Custody,MT
HENDENC,Henderson County Det. Fac.,NC
HENDENV,Henderson Detention,NV
HENDETX,Henderson County Jail,TX
HENDRFL,Hendry County Jail,FL
HENHOLD,Hendersonville Hold Room,NC
HERNAFL,Hernando County Jail,FL
HHWHOLD,INS District Office,HI
HICOJFL,Hillsborough County Jail,FL
HIDALNM,Hidalgo County Detention Center,NM
HIDALTX,Hidalgo County Jail,TX
HILLCMT,Hill County Justice Center,MT
HLGHOLD,Harlingen Hold Room,TX
HLYCHIL,Holy Cross Hospital,IL
HMCHOTX,Harlingen Medical Center,TX
HNRMCFL,Henry Regional Medical Center,FL
HOKLYTX,Hockley County Jail,TX
HOSPSPR,Hospital Pavia-Santurce,PR
HOTELMA,Ramada Hotel,MA
HOUHOLD,Houston FO Holdroom,TX
HOUICDF,Houston Contract Det.Fac.,TX
HOWARMD,Howard County Det Cntr,MD
